UF,MUNICIPIO_NORM,LEITOS_SUS,POPULAÇÃO ESTIMADA,LEITOS_TOTAL_PER_THOUSAND
SP,jaci,173,7944.0,21.77744209466264
RS,sao joao do polesine,49,2708.0,18.09453471196455
SC,sao pedro de alcantara,108,6175.0,17.48987854251012
SP,divinolandia,186,11305.0,16.452896948252985
PR,jandaia do sul,352,21930.0,16.051071591427267
SC,lindoia do sul,70,4604.0,15.204170286707212
RS,paim filho,52,3685.0,14.111261872455902
RS,severiano de almeida,45,3463.0,12.994513427663875
RS,jaboticaba,45,3847.0,11.697426566155446
SC,modelo,47,4159.0,11.300793459966338
MG,passabem,18,1609.0,11.187072715972654
RS,dois lajeados,35,3156.0,11.08998732572877
RJ,vassouras,392,35907.0,10.91709137494082
RN,almino afonso,52,4802.0,10.828821324448146
SP,santa rita do passa quatro,256,24996.0,10.241638662185949
SC,luzerna,58,5951.0,9.74626113258276
RN,riacho da cruz,26,2724.0,9.544787077826726
RS,faxinal do soturno,65,6846.0,9.494595384165937
RS,marcelino ramos,41,4382.0,9.356458238247377
RS,campinas do sul,50,5388.0,9.279881217520416
AL,coruripe,480,51784.0,9.269272362119574
SC,tunapolis,47,5081.0,9.250147608738436
RS,progresso,50,5423.0,9.219988936013278
PR,campina grande do sul,466,50600.0,9.209486166007904
RN,severiano melo,51,5616.0,9.081196581196583
SC,sao bonifacio,27,2982.0,9.054325955734408
SP,pariquera-acu,176,19603.0,8.978217619752078
BA,antas,134,14984.0,8.942872397223704
PR,campo largo,1292,144504.0,8.940928970824336
SC,peritiba,27,3040.0,8.881578947368421
BA,sao felix,98,11102.0,8.827238335435057
GO,uruacu,392,44533.0,8.802461096265692
SC,ponte alta,38,4390.0,8.656036446469248
MA,governador nunes freire,202,23526.0,8.586245005525802
SC,trombudo central,65,7599.0,8.553757073299119
ES,sao jose do calcado,97,11411.0,8.500569625799667
SC,ponte serrada,90,10732.0,8.386134923592994
RS,ronda alta,83,9969.0,8.325810011034205
GO,campinacu,31,3760.0,8.24468085106383
SP,casa branca,237,28779.0,8.235171479203586
RS,tenente portela,121,14820.0,8.164642375168691
GO,marzagao,24,2942.0,8.157715839564922
MT,ponte branca,17,2098.0,8.102955195424213
GO,hidrolina,28,3477.0,8.05291918320391
RS,acegua,34,4251.0,7.998118089861209
SC,timbe do sul,44,5503.0,7.995638742504089
RN,alexandria,112,14058.0,7.9669938824868405
RS,marques de souza,32,4050.0,7.901234567901235
RN,vicosa,15,1900.0,7.894736842105264
RS,sao jeronimo,169,21412.0,7.892770409116383
SP,espirito santo do pinhal,316,40610.0,7.781334646638759
RS,rodeio bonito,53,6831.0,7.758746889181672
MG,estrela do indaia,21,2711.0,7.746219107340465
RS,campina das missoes,46,5999.0,7.667944657442907
RS,sertao,43,5630.0,7.63765541740675
MG,felisburgo,50,6575.0,7.604562737642586
GO,morro agudo de goias,19,2505.0,7.584830339321357
SC,joacaba,241,31809.0,7.576472067653809
RS,nova brescia,23,3104.0,7.409793814432989
PB,pianco,126,17088.0,7.373595505617978
RS,irai,56,7619.0,7.350045937787112
MG,machacalis,48,6556.0,7.3215375228798045
TO,marianopolis do tocantins,35,4793.0,7.302315877321093
PR,nova tebas,50,6852.0,7.297139521307647
SP,itapira,540,74038.0,7.293551959804425
GO,aloandia,14,1977.0,7.081436519979768
RS,maximiliano de almeida,30,4251.0,7.057163020465773
GO,diorama,14,1991.0,7.031642390758413
RS,sao martinho,39,5587.0,6.980490424199034
PI,sao felix do piaui,20,2879.0,6.946856547412295
RS,campo novo,35,5063.0,6.912897491605768
SC,meleiro,49,7128.0,6.874298540965207
PR,pranchita,40,5831.0,6.859886811867605
RS,nova palma,38,5676.0,6.694855532064834
RS,caicara,33,4931.0,6.692354491989454
RS,viadutos,32,4847.0,6.602021869197442
GO,adelandia,15,2282.0,6.573181419807186
RS,riozinho,30,4574.0,6.558810668998688
MG,dom silverio,35,5355.0,6.5359477124183005
RS,chiapetta,26,3991.0,6.514657980456026
RS,caibate,31,4795.0,6.465067778936392
SE,riachuelo,57,8853.0,6.438495425279567
SC,angelina,35,5484.0,6.382202771699489
MT,torixoreu,27,4238.0,6.370929683813119
GO,divinopolis de goias,28,4405.0,6.356413166855846
GO,ceres,143,22570.0,6.3358440407620735
RN,rafael godeiro,19,3005.0,6.322795341098169
RS,selbach,33,5222.0,6.319417847567982
PE,palmares,355,56475.0,6.285967242142541
SP,herculandia,58,9316.0,6.22584800343495
RJ,bom jesus do itabapoana,230,37176.0,6.186787174521196
PB,frei martinho,18,2911.0,6.183442116111302
BA,jussari,37,6048.0,6.117724867724867
SC,anitapolis,23,3761.0,6.115394841797395
GO,palestina de goias,19,3113.0,6.10343719884356
SC,caxambu do sul,29,4752.0,6.102693602693603
CE,barbalha,493,81441.0,6.053462015446765
AL,porto calvo,148,24509.0,6.038598066016566
RS,augusto pestana,44,7303.0,6.024921265233465
AP,serra do navio,30,5003.0,5.996402158704777
PR,tomazina,51,8523.0,5.98380851812742
GO,taquaral de goias,25,4180.0,5.980861244019139
RS,palmitinho,48,8042.0,5.968664511315594
RS,david canabarro,26,4400.0,5.909090909090909
SC,descanso,51,8652.0,5.894590846047157
SC,tangara,48,8144.0,5.893909626719057
SC,xavantina,21,3583.0,5.861010326542004
GO,ivolandia,16,2731.0,5.858659831563529
RS,mariano moro,11,1884.0,5.8386411889596594
SC,nova erechim,32,5490.0,5.828779599271402
PR,conselheiro mairinck,20,3474.0,5.757052389176741
SC,anita garibaldi,48,8339.0,5.756085861614102
SC,praia grande,50,8696.0,5.749770009199632
RS,sao jose do ouro,40,6978.0,5.732301519059902
RS,ajuricaba,39,6843.0,5.699254712845244
SC,sao martinho,20,3520.0,5.681818181818182
GO,sao luiz do norte,28,4939.0,5.669163798339745
PR,formosa do oeste,44,7763.0,5.66791188973335
RS,porto lucena,25,4414.0,5.6637970095151795
GO,santa rosa de goias,16,2828.0,5.657708628005658
MT,rosario oeste,85,15041.0,5.6512199986703004
SC,vargeao,21,3726.0,5.636070853462158
MG,carangola,181,32134.0,5.632663222754714
SC,ipira,26,4622.0,5.625270445694505
GO,estrela do norte,18,3214.0,5.6004978220286254
PR,ivaipora,187,33566.0,5.5711136268843475
PI,padre marcos,36,6468.0,5.565862708719852
RN,monte das gameleiras,13,2345.0,5.543710021321962
RJ,sao sebastiao do alto,44,7993.0,5.5048167146252975
SC,arroio trinta,20,3634.0,5.50357732526142
